"ID";"IDIOMA";"REFRAN"
300;"FRANCES";"Dieu aide à trois sortes de personnes: aux fous, aux enfants, et aux ivrognes."
301;"FRANCES";"Dieu donne le froid selon le drap."
302;"FRANCES";"Dieu garde la lune des loups."
303;"FRANCES";"Dieu sait qui est bon pélerin."
304;"FRANCES";"Dieu seul devine les sots."
305;"FRANCES";"Dieu vous garde d’un homme qui n’a qu’une affaire."
306;"FRANCES";"Dis-moi qui tu hantes, je te dirai qui tu es."
307;"FRANCES";"Dites toujours fanfare, vous ne mourrez jamais."
308;"FRANCES";"Dites toujours nenni, vous ne serez jamais mariée."
309;"FRANCES";"D’oiseaux, de chiens, d’armes, d’amours, pour un plaisir mille doulours."
310;"FRANCES";"Donner de l’eau bénite de cour."
311;"FRANCES";"Donner une chandelle à Dieu et une au diable."
312;"FRANCES";"Donner un ”oe]uf pour avoir un b”oe]uf."
313;"FRANCES";"Dormir une heure avant minuit vaut mieux que trois après."
314;"FRANCES";"Douce parole n’écorche pas langue."
315;"FRANCES";"Du cuir d’un vieux mari on en achète un jeune."
316;"FRANCES";"Du dire au fait il y a grand trait."
317;"FRANCES";"Du larron privé on ne peut se garder."
318;"FRANCES";"D’un sac à charbon ne saurait sortir de blanche farine."
319;"FRANCES";"Ecorcher l’anguille par la queue."
320;"FRANCES";"Elève le corbeau, il te crèvera les yeux."
321;"FRANCES";"Enfants et fous sont devins."
322;"FRANCES";"En fin les renards se trouvent chez le pelletier."
323;"FRANCES";"En forgeant on devient forgeron."
324;"FRANCES";"En grand fardeau n’est pas l’acquêt."
325;"FRANCES";"En la cour du roi chacun y est pour soi."
326;"FRANCES";"En la maison du ménétrier chacun est danseur."
327;"FRANCES";"En mariage trompe qui peut."
328;"FRANCES";"Ennemi ne s’endort."
329;"FRANCES";"En petit champ croît bien bon bled."
330;"FRANCES";"En petites boîtes met-on les bons onguents."
331;"FRANCES";"En peu d’heure Dieu labeure."
332;"FRANCES";"En sûreté dort qui n’a que perdre."
333;"FRANCES";"Entre deux selles le cul à terre."
334;"FRANCES";"Entre promettre et donner doit-on marier sa fille."
335;"FRANCES";"En vaisseau mal lavé ne peut-on vin garder."
336;"FRANCES";"Envie passe avarice."
337;"FRANCES";"Erreur n’est pas compte."
338;"FRANCES";"Est assez riche qui ne doit rien."
339;"FRANCES";"Evêque d’or, crosse de bois; crosse d’or, évêque de bois."
340;"FRANCES";"Face d’homme porte vertu."
341;"FRANCES";"Faire bonne mine à mauvais jeu."
342;"FRANCES";"Faire comme le singe, tirer les marrons du feu avec la patte du chat."
343;"FRANCES";"Faire de nécessité vertu."
344;"FRANCES";"Faire des châteaux en Espagne."
345;"FRANCES";"Faire du cuir d’autrui large courroie."
346;"FRANCES";"Faire d’une pierre deux coups."
347;"FRANCES";"Faire un trou pour en boucher un autre."
348;"FRANCES";"Faisant son office la balance, d’or ni de plomb n’a connaissance."
349;"FRANCES";"Fais ce que dois, advienne que pourra."
350;"FRANCES";"Fais-moi la barbe et je te ferai le toupet."
351;"FRANCES";"Femme, argent, et vin, ont leur bien et leur venin."
352;"FRANCES";"Femme et melon à peine les connaît-on."
353;"FRANCES";"Femme qui beaucoup se mire peu file."
354;"FRANCES";"Femme qui prend, se vend; femme qui donne, s’abandonne."
355;"FRANCES";"Femme rit quand elle peut, et pleure quand elle veut."
356;"FRANCES";"Femme sotte se cognoit à la cotte."
357;"FRANCES";"Fiançailles vont en selle et repentailles en croupe."
358;"FRANCES";"Fi de manteau quand il fait beau."
359;"FRANCES";"Fille oisive, à mal pensive."
360;"FRANCES";"Fin contre fin."
361;"FRANCES";"Fin contre fin n’est pas bon pour faire doublure."
362;"FRANCES";"Foi de gentilhomme, un autre gage vaut mieux."
363;"FRANCES";"Folle est la brebis qui au loup se confesse."
364;"FRANCES";"Force n’a pas droit."
365;"FRANCES";"Fou qui se tait passe pour sage."
366;"FRANCES";"Fumée, pluie, et femme sans raison, chassent l’homme de sa maison."
367;"FRANCES";"Gâteau et mauvaise coutume se doivent rompre."
368;"FRANCES";"Gâter une chandelle pour trouver une épingle."
369;"FRANCES";"Gentilhomme de Beauce qui reste au lit pendant qu’on raccommode ses chausses."
370;"FRANCES";"Goutte à goutte emplit la cuve."
371;"FRANCES";"Goutte à goutte la pierre se creuse."
372;"FRANCES";"Graissez les bottes d’un vilain, il dira qu’on les lui brûle."
